building,Description,Building_full_name,Latitude,Longitude
RC1A,YNC RC1,Yale-NUS RC1 (Saga College),1.305892079,103.7720343
THALL,Temasek Hall,Temasek Hall,1.292706407,103.7713645
AH,Shaw Foundation Alumi House,Shaw Foundation Alumi House,1.293126291,103.7736311
AMHP,UTown RC4,Residential College 4,1.308192312,103.7733293
ARTSCTN,Arts Canteen,Arts Canteen,1.294680727,103.7725
AS1,AS1,Arts AS1,1.295240353,103.7721675
AS2,AS2,Arts AS2,1.295244523,103.7713564
AS3,AS3,Arts AS3,1.294768426,103.7712902
AS4,AS4,Arts AS4,1.294591986,103.771839
AS5,AS5,Arts AS5,1.294153966,103.7718338
AS6,AS6,Arts AS6,1.295629731,103.7731665
AS7,AS7,Arts AS7,1.294341877,103.7710902
AS8,AS8,Arts AS8,1.296013982,103.7723195
AS8-BS,AS8 Bus Stop,AS8 Bus Stop,1.296628357,103.7725499
ASN,UTown RC4,Residential College 4,1.308192312,103.7733293
BB,BTC Block B,BTC Block B,1.318934532,103.8168568
BBAUD,BTC Block B Auditorium,BTC Block B,1.318934532,103.8168568
BIZ1,Mochtar Riady Building,Mochtar Riady Building,1.29256286,103.7741653
BIZ2-BS,BIZ2 Bus Stop,BIZ2 Bus Stop,1.293655547,103.7752088
BREN,Brenner Centre for Molecular Medicine,Brenner Centre,1.294804141,103.7806009
BTC-BS,BTC Bus Stop,BTC Bus Stop,1.319829248,103.8177615
BTCCTN,BTC Canteen,BTC Block B,1.318934532,103.8168568
BTCH5,BTC House 5,Institute of Policy Studies,1.317659073,103.8168067
BTCLT,BTC Block B Lecture Theatre,BTC Block B,1.318934532,103.8168568
CDTL,Centre for Development of Teaching and Learning,Central Library Annex,1.29693237,103.7737907
CELC,Centre for English Language and Communication,Centre for English Language and Communication,1.296986642,103.7714493
CELS,Centre for Life Science,Centre for Life Science,1.294396197,103.7808247
CFA,Centre for the Arts,Centre for the Arts,1.299256078,103.7737622
CLB,Central Library,Central Library,1.296548386,103.773067
CLIB,Central Library,Central Library,1.296548386,103.773067
CLL,CRC Learning Lobe,CRC Learning Lobe (UTown),1.306537774,103.7731663
CMPH,UTown CAPT MPH,College of Alice & Peter Tan,1.307274495,103.7731513
CNLIB,Chinese Library,Chinese Library,1.296978306,103.7734299
CNM,UTown Cinamon,Cinnamon College,1.306542095,103.7735671
COM2-BS,COM2 Bus Stop,COM2 Bus Stop,1.294265421,103.7737969
CRE,CREATE Town Plaza,CREATE Town Plaza,1.303819581,103.7735764
CRECTN,CREATE Town Plaza Canteen,CREATE Town Plaza,1.303819581,103.7735764
CUSP,University Scholar Programme,University Scholar Programme,1.306812692,103.7730423
DOB,Deep Ocean Basin,Technology Centre for Offshore and Marine,1.293122493,103.7766328
DSO,DSO Buidling,DSO Buidling,1.296291584,103.7813447
E1,E1,Engineering E1,1.298735043,103.7710973
E1A,E1A,Engineering E1A,1.299373774,103.7708494
E2A,E2A,Engineering E2A,1.298741252,103.7714634
E2CTN,E2 Canteen (E2 Halal Cafeteria),Engineering E2,1.298741252,103.7714634
E3A,E3A,Engineering E3A,1.30031431,103.7713906
E4,E4,Engineering E4,1.29855034,103.7720631
E4A,E4A,Engineering E4A,1.29864159,103.7726038
E5,E5,Engineering E5,1.298031181,103.7724455
E6,E6,Engineering E6,1.299255412,103.7730877
EA,EA,Engineering EA,1.30022063,103.7704961
EAUD,EA Auditorium,Engineering EA,1.300637638,103.7706059
EC,YNC East Cove,Yale-NUS College East Cove,1.3073102,103.7725907
EHALLA,Eusoff Hall A,EC-03-19,1.293505725,103.7697258
EHALLD,Eusoff Hall D,Eusoff Hall,1.293208111,103.7704174
EHALLE,Eusoff Hall E,Eusoff Hall,1.29351746,103.7703499
EHC,Eusoff Hall C,Eusoff Hall,1.293098909,103.769984
ERC,Education Resource Centre,Education Resource Centre,1.305903222,103.7729146
ESI,Energy Studies Institute,Energy Studies Institute,1.290530738,103.777596
ETS,BTC Eu Tiong Seng Building,BTC Eu Tiong Seng Building,1.318309815,103.8168575
EW1,Engineering Workshop 1,Engineering Workshop 1,1.298540681,103.7707908
EW2,Engineering Workshop 2,Engineering Workshop 2,1.299176478,103.7725301
FC,Staff Club,Staff Club,1.299267812,103.7758311
FED,BTC Federal Building,BTC Federal Building,1.31846719,103.8174827
GRN,UTown Residence North (Graduate Residence North),Graduate Residence North,1.305466247,103.7738138
GRS,UTown Residence South (Graduate Residence South),Graduate Residence South,1.304984163,103.7739655
HMK,29 Heng Mui Keng,Heng Mui Keng Terrace,1.290530738,103.777596
HSS,Hon Sui Sen Auditorium,Hon Sui Sen Auditorium,1.293311193,103.7746046
HSSMLIB,Hon Sui Sen Memorial Library,Hon Sui Sen Memorial Library,1.293018177,103.7744394
I2R,I3,ICube,1.292476259,103.7756545
I3,I3,ICube,1.292476259,103.7756545
i3,I3,ICube,1.292476259,103.7756545
IT,Information Technology,NUS Information Technology,1.297587899,103.7725083
IT-BS,IT Bus Stop,IT Bus Stop,1.297234398,103.772679
KADH,UTown CAPT & RC4 Dining Hall,Residential College 4,1.308192312,103.7733293
KALT,UTown CAPT & RC4 LT,Residential College 4,1.308192312,103.7733293
KE7H,King Edward Hall,King Edward Hall,1.292258929,103.7809202
KEH,King Edward Hall,King Edward Hall,1.292258929,103.7809202
KHY,UTown RC4,Residential College 4,1.308192312,103.7733293
KMPH,UTown RC4 MPH,Residential College 4,1.308192312,103.7733293
KR11,Kent Ridge House 11,Kent Ridge Hall,1.291830189,103.7744547
KR12,Kent Ridge House 12,Kent Ridge Hall,1.291830189,103.7744547
KR12A,Kent Ridge House 12A,Kent Ridge Hall,1.291830189,103.7744547
KR12E,Kent Ridge House 12E,Kent Ridge Hall,1.291830189,103.7744547
KR14,Kent Ridge House 14,Kent Ridge Hall,1.291830189,103.7744547
KRT-BS,Kent Ridge Terminal Bus Stop,Kent Ridge Terminal Bus Stop,1.294128366,103.7698524
LIB,BTC CJ Koh Law Library,BTC CJ Koh Law Library,1.318734301,103.8181564
LKC,LKC Natural History Museum,LKC Natural History Museum,1.301518055,103.7735658
LKS,BTC Li Ka Shing Building,BTC Li Ka Shing Building,1.319606052,103.8174841
LT1,LT1,Lecture Theatre 1,1.299485638,103.7712935
LT10,LT10,Lecture Theatre 10,1.29490188,103.7720247
LT11,LT11,Lecture Theatre 11,1.29545193,103.7714059
LT12,LT12,Lecture Theatre 12,1.294980797,103.7711457
LT13,LT13,Lecture Theatre 13,1.295076646,103.7708921
LT13-BS,LT13 Bus Stop,LT13 Bus Stop,1.29472458,103.7706609
LT14,LT14,Lecture Theatre 14,1.295717052,103.7733865
LT15,LT15,Lecture Theatre 15,1.295524772,103.7734498
LT16,LT16,Lecture Theatre 16,1.293919523,103.7738568
LT17,LT17,Lecture Theatre 17,1.293606539,103.7740012
LT18,LT18,Lecture Theatre 18,1.293557014,103.7744915
LT19,LT19,Lecture Theatre 19,1.293738198,103.7744131
LT2,LT2,Lecture Theatre 2,1.299292069,103.7713904
LT20,LT20,Lecture Theatre 20,1.295787055,103.778841
LT21,LT21,Lecture Theatre 21,1.295385523,103.779466
LT26,LT26,Lecture Theatre 26,1.296417531,103.7811229
LT27,LT27,Lecture Theatre 27,1.297048398,103.7808763
LT27-BS,LT27 Bus Stop,LT27 Bus Stop,1.297293041,103.7809889
LT28,LT28,Lecture Theatre 28,1.297260053,103.7811932
LT29,LT29,Lecture Theatre 29,1.297142628,103.7813057
LT3,LT3,Lecture Theatre 3,1.297647276,103.7733925
LT31,LT31,Lecture Theatre 31,1.296885639,103.7804067
LT32,LT32,Lecture Theatre 32,1.29613306,103.7783073
LT33,LT33,Lecture Theatre 33,1.297762881,103.7809698
LT34,LT34,Lecture Theatre 34,1.297717129,103.7808385
LT35,LT35,Medicine MD6,1.295467929,103.7817549
LT36,LT36,Medicine MD6,1.295191669,103.7818711
LT37,LT37,Medicine MD1,1.295560046,103.7802341
LT4,LT4,Lecture Theatre 4,1.297501737,103.7735498
LT5,LT5,Lecture Theatre 5,1.298282829,103.7712372
LT50,LT50,Stephen Riady Centre,1.304675585,103.7724698
LT51,LT51,Stephen Riady Centre,1.304675585,103.7724698
LT52,LT52,Stephen Riady Centre,1.304675585,103.7724698
LT53,LT53,Stephen Riady Centre,1.304675585,103.7724698
LT6,LT6,Lecture Theatre 6,1.298786326,103.7719786
LT7,LT7,Lecture Theatre 7,1.300122708,103.7710622
LT7A,LT7A,Lecture Theatre 7A,1.300505466,103.7709522
LT8,LT8,Lecture Theatre 8,1.294124194,103.7720019
LT9,LT9,Lecture Theatre 9,1.294975967,103.7722558
MCOURT,BTC Moot Court,BTC Block B,1.318864415,103.8164242
MD1,MD1,Medicine MD1,1.295415255,103.7806214
MD10,MD10,Medicine MD10,1.296510345,103.7818445
MD11,MD11,Medicine MD11,1.295968483,103.781815
MD2,MD2,Medicine MD2,1.294956769,103.7811955
MD3,MD3,Medicine MD3,1.295355339,103.7811046
MD4,MD4,Medicine MD4,1.295729921,103.7809606
MD6,MD6,Medicine MD6,1.295467929,103.7817549
MD6TMP,MD6,Medicine MD6,1.295467929,103.7817549
MD7,MD7,Medicine MD7,1.296055537,103.7811411
MD9,MD9,Medicine MD9,1.296709522,103.7813796
MM,BTC Manasseh Meyer Building,BTC Manasseh Meyer Building,1.319094072,103.8176231
MPH,"Multi Purpose Hall, Behind University Sport Centre",Multi Purpose Sports Hall,1.30053326,103.7760074
MUSLIB,Music Library,Yong Siew Toh Conservatory of Music,1.302241599,103.7728079
MUSM-BS,Museum Bus Stop,Museum Bus Stop,1.301106274,103.7737247
NAK,Ngee Ann Kongsi Auditorium,Ngee Ann Kongsi Auditorium,1.305460374,103.7732064
OHSSL-BS,Opposite HSS Library Bus Stop,Opposite HSS Library Bus Stop,1.293015956,103.7751551
ONUSS-BS,Opposite NUSS Bus Stop,Opposite NUSS Bus Stop,1.29326305,103.7724701
OTH,BTC Oei Tiong Ham Building,BTC Oei Tiong Ham Building,1.319369842,103.8180168
OUHALL-BS,Opposite UHall Bus Stop,Opposite UHall Bus Stop,1.297565307,103.7781411
OUHC-BS,Opposite UHC Bus Stop,Opposite UHC Bus Stop,1.298776351,103.7756067
OYIH-BS,Opposite YIH Bus Stop,Opposite YIH Bus Stop,1.298970908,103.7741353
PGP-BS,PGP Bus Stop,PGP Bus Stop,1.291786988,103.7804547
PGP1,PGP Residence 1,PGP Block 1,1.291608604,103.7829927
PGP13,PGP Residence 13,PGP Block 13,1.291917004,103.7798593
PGP15,PGP Residence 15,PGP Block 15,1.291326817,103.7798386
PGP22,PGP Residence 22,PGP Block 22,1.290376856,103.7806045
PGP6,PGP House 6,PGP Block 6,1.290859329,103.7815053
PGPCTN,PGP Canteen (aircon),PGP Block 8,1.290846736,103.7808683
PGPECTN,PGP Canteen (non-aircon),PGP E-Canteen,1.29080936,103.7822839
PGPH15,PGP House 15,PGP Block 15,1.291326817,103.7798386
PGPH17,PGP House 17,PGP Block 17,1.291454069,103.7792923
PGPH2,PGP House 2,PGP Block 2,1.291488678,103.7827484
PGPH3,PGP House 3,PGP Block 3,1.291363477,103.7825077
PGPH4,PGP House 4,PGP Block 4,1.291269433,103.7822645
PGPH5,PGP House 5,PGP Block 5,1.291044045,103.7818086
PGPH7,PGP House 7,PGP Block 7,1.290791123,103.781211
PGPH7-BS,PGP House 7 Bus Stop,PGP House 7 Bus Stop,1.293174573,103.7778792
PGPM,PGP Main Wire Center,PGP,1.290981848,103.7811487
PGPR10,PGP Residence 10,PGP Block 10,1.291217329,103.7803264
PGPR20,PGP Residence 20,PGP Block 20,1.290780054,103.7801531
PGPR6,PGP Residence 6,PGP Block 6,1.290859329,103.7815053
RC2,YNC RC2,Yale-NUS RC2 (Elm College),1.30636148,103.7720656
RC3,YNC RC3,Yale-NUS RC3 (Cendana College),1.308011451,103.7722673
RC3A,YNC RC3,Yale-NUS RC3 (Cendana College),1.308011451,103.7722673
RH-BS,Raffles Hall Bus Stop,Raffles Hall Bus Stop,1.30096725,103.7726985
RVG,Ridge View Residence Tower Block G,Ridge View Residence Garden,1.297386477,103.7768695
RVRTB,Ridge View Residence Tower Block,Ridge View Residence Tower Block,1.297931071,103.7768066
S1,S1,Science S1,1.295782795,103.7780493
S10,S10,Science S10,1.296261072,103.779629
S10CTN,S10 - Science Canteen (Aircon),Science S10,1.296427822,103.7803567
S11,S11,Science S11,1.296673372,103.7787897
S12,S12,Science S12,1.296978362,103.7786968
S13,S13,Science S13,1.296773594,103.7792141
S14,S14,Science S14,1.296836001,103.7797418
S15,S15,Science S15,1.297145186,103.7802567
S16,S16,Science S16,1.296765742,103.7804094
S16CTN,S16 - Science Canteen (non-Aircon),Science S16,1.296424194,103.7806968
S17,S17,Science S17,1.297716044,103.7805637
S17-BS,S17 Bus Stop,S17 Bus Stop,1.297501279,103.7813543
S1A,S1A,Science S1A,1.296002363,103.7784599
S2,S2,Science S2,1.295520275,103.7781029
S2S,S2S,Science S2S,1.297602243,103.7741912
S3,S3,Science S3,1.295541339,103.7786055
S4,S4,Science S4,1.295649092,103.7791861
S4A,S4A,Science S4A,1.295845991,103.7792151
S5,S5,Science S5,1.295507728,103.7797446
S6,S6,Science S6,1.29500588,103.7803682
S7,S7,Science S7,1.296341893,103.7788667
S8,S8,Science S8,1.296115985,103.7793313
S9,S9,Science S9,1.295959119,103.7798563
SB,YNC East Cove,Yale-NUS College East Cove,1.3073102,103.7725907
SCICNT,S16 - Science Canteen (non-Aircon),Science S16,1.296424194,103.7806968
SCILIB,Science Library,S6,1.295233482,103.7801206
SDE1,SDE1,Design SDE1,1.297355549,103.7706591
SDE2,SDE2,Design SDE2,1.297289085,103.7711625
SDE3,SDE3,Design SDE3,1.298030086,103.7705333
SDE4,SDE4,Design SDE4,1.296894124,103.7702554
SDE423,SDE3 LR423,Design SDE3,1.298030086,103.7705333
SDWA,Singapore Delft Water Alliance,Engineering E1,1.298735043,103.7710973
SFAH,Shaw Foundation Alumi House,Shaw Foundation Alumi House,1.293126291,103.7736311
SH,Sheares Hall,Sheares Hall,1.291426163,103.7757048
SNRC,i4.0,Innovation 4.0,1.294570312,103.7757215
SRCCTN,UTown SRC Food Court (Flavours @ UTown),Stephen Riady Centre,1.304675585,103.7724698
SSLS,Singapore Synchrotron Light Source Building,Singapore Synchrotron Light Source,1.295620196,103.7751039
TB,BTC Tower Block,BTC Tower Block,1.319373725,103.8172863
TBS,UTown Tembusu,Tembusu College,1.306171712,103.7737494
TEMB,UTown Tembusu,Tembusu College,1.306171712,103.7737494
THA,Temasek Hall A,Temasek Hall,1.293018719,103.7708585
THB,Temasek Hall B,Temasek Hall,1.292685425,103.770759
THE,Temasek Hall 5E,Temasek Hall,1.292593305,103.7720224
TLAB,Temasek Laboratories,Temasek Laboratories,1.299769564,103.7721223
TMPH,UTown Tembusu MPH,Tembusu College,1.305892401,103.7738572
TSTCM,Yong Siew Toh,Yong Siew Toh Conservatory of Music,1.302241599,103.7728079
UCC,University Cultural Centre,University Cultural Centre,1.301710389,103.7722543
UHALL,University Hall,University Hall,1.297101511,103.7776961
UHALL-BS,UHall Bus Stop,UHall Bus Stop,1.297201937,103.7786659
UHC,University Health Centre,Univeristy Health Centre,1.299053086,103.7764222
UHC-BS,UHC Bus Stop,UHC Bus Stop,1.298925291,103.7761297
USC,University Sports Center,University Sports Center,1.299584153,103.7754799
UT-BS,UTown Bus Stop,UTown Bus Stop,1.303531105,103.7743438
UT-TP,Utown Town Plaza,CREATE Town Plaza,1.303819581,103.7735764
UT25,UTown 25 (Stephen Riady Centre),Stephen Riady Centre,1.304675585,103.7724698
VEN-BS,Ventus Bus Stop,Ventus Bus Stop,1.295359193,103.7706025
VENT,Ventus,Ventus,1.295357096,103.7701901
WS2,Engineering Workshop 2 (EW2 Building),Engineering Workshop 2,1.299176478,103.7725301
WT,Wind Tunnel,Singapore National Wind Tunnel,1.3011365,103.7753386
YIH,Yusof Ishak House,Yusof Ishak House,1.298473796,103.7748497
YIH-BS,YIH Bus Stop,YIH Bus Stop,1.298902475,103.7743958
YIHCTN,YIH Canteen,Yusof Ishak House,1.298473796,103.7748497
YST,Yong Siew Toh,Yong Siew Toh Conservatory of Music,1.302241599,103.7728079
HSSML,Hon Sui Sen Memorial Library,Hon Sui Sen Memorial Library,1.293018177,103.7744394
ACTN,Arts Canteen,Arts Canteen,1.294680727,103.7725
SRC,Stephen Riady Centre,Stephen Riady Centre,1.304675585,103.7724698
CC,NUS Information Technology,NUS Information Technology,1.297587899,103.7725083
KE7,King Edward Hall,King Edward Hall,1.292258929,103.7809202
KRH,Kent Ridge Hall,Kent Ridge Hall,1.291579612,103.7743972
CELCS,Centre for English Language and Communication,Centre for English Language and Communication,1.296986642,103.7714493
EHALL,Eusoff Hall,Eusoff Hall,1.293999712,103.7700354
KRGH,Kent Ridge Guild House,Kent Ridge Guild House,1.293592743,103.7730123
ISS,Institute Of Systems Science,Institute Of Systems Science,1.29219846,103.7765918
ISEAS,ISEAS-Yusof Ishak Institute,ISEAS-Yusof Ishak Institute,1.291346957,103.7767701
NISS,NUS Institute of Systems Science,NUS Institute of Systems Science,1.291176798,103.777762
ASEF,Asia-Europe Foundation,Asia-Europe Foundation,1.291429048,103.7784611
PGPR14,PGP Residence 14,PGP Block 14,1.291747362,103.7796403
PGPMART,PGP Mini Mart,PGP Mini Mart,1.290492525,103.7813905
PGPR26,PGP Residence 26,PGP Block 26,1.290646763,103.7815866
PGPR29,PGP Residence 29,PGP Block 29,1.290525847,103.7820012
PGPR12,PGP Residence 12,PGP Block 12,1.291798709,103.7801369
PGPR11,PGP Residence 11,PGP Block 11,1.291501037,103.7801934
PGPR9,PGP Residence 9,PGP Block 9,1.290990878,103.7805469
OCS,NUS Office of Campus Security,NUS Office of Campus Security,1.292574597,103.7792515
IMS,Institute for Mathematical Sciences,Institute for Mathematical Sciences,1.292650196,103.7797498
NEI,NUS Enterprise Incubator,NUS Enterprise Incubator,1.293222862,103.7780533
ECNTN,Techno Edge,Techno Edge,1.29803571,103.7713936
E2,E2,Engineering E2,1.29947887,103.7717782
COM1,COM1,COM1,1.294948711,103.7738917
FVL,Former Visitor's Lodge,Former Visitor's Lodge,1.298523981,103.7731581
FVL,Former Visitor's Lodge,Former Visitor's Lodge,1.29862684,103.7735041
RH,Raffles Hall,Raffles Hall,1.299938931,103.7738808
RVRC,Ridge View Residential College,Ridge View Residential College,1.298553212,103.7760319
YLLSOM,Yong Loo Lin School of Medicine,Yong Loo Lin School of Medicine,1.296940756,103.7817834
SFAC,Science Walkway,Science Walkway,1.296925747,103.7810981
SFAC,Science Walkway,Science Walkway,1.296134148,103.7807119
KV-BS,Kent Vale Bus Stop,Kent Vale Bus Stop,1.301844784,103.7694784
CRE2,Create Tower,Create Tower,1.30406424,103.7744384
TBSWLL,Tembusu West Learn Lobe,Tembusu West Learn Lobe,1.305895947,103.7734946
RC1B,YNC RC1,Yale-NUS RC1 (Saga College),1.305892079,103.7720343
WC,YNC West Cove,Yale-NUS College West Cove,1.307003916,103.7719412
CTPH,Chua Thian Poh Hall,Chua Thian Poh Hall,1.306994814,103.7733099
CAPTCO,CAPT College Office,CAPT College Office,1.30759359,103.7731736
CAPT,College of Alice & Peter Tan,College of Alice & Peter Tan,1.307856336,103.7732535
RC4,RC4,RC4,1.308384883,103.7730054
KVR,Kent Vale Residences,Kent Vale Residences,1.302447291,103.7687523
COM3,COM3,COM3,1.294234584,103.7743963
COM2,COM2,COM2,1.293923043,103.7741044
LT19,LT19,Lecture Theatre 19,1.293836263,103.7743657
BIZ2,BIZ2,NUS BIZ2,1.29347144,103.775025
PGPR27,PGP Residence 27,PGP Block 27,1.290472877,103.7817346
PGPR28,PGP Residence 28,PGP Block 28,1.290208652,103.7817568
TLSCILAB,Temasek Life Sciences Laboratory,Temasek Life Sciences Laboratory,1.294320889,103.7769432
PGP16,PGP Residence 16,PGP Block 16,1.291464308,103.7795383
PGP18,PGP Residence 18,PGP Block 18,1.291120079,103.7800333
PGP19,PGP Residence 19,PGP Block 19,1.291086764,103.7797682
E2,E2,Engineering E2,1.299339283,103.7711512
